央视频道,#genre#
足球频道,https://epg.pw/stream/c7df950876e6a1ceb8be74ee86f9f702cebbbae29f1d15124ef8f86fd43161cf.m3u8
魅力足球,https://epg.pw/stream/100f8d10fb39d11544e9f834c30dd5a57e92915f801d8e9bf50bf0f01345bef7.ctv
足球频道,https://epg.pw/stream/c7df950876e6a1ceb8be74ee86f9f702cebbbae29f1d15124ef8f86fd43161cf.m3u8
未来体育,rtmp://220.130.201.73/sat/tv721
未来体育,rtmp://f13h.mine.nu/sat/tv721
未来体育,rtmp://f13h.mine.nu/sat/tv721
广东珠江,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel65/index.m3u8
好訊息,https://epg.pw/stream/7e863d41fbb20975775323c59644b5d46c3a28b9c2f01e4b574a14761e01641e.m3u8

咪咕体育,http://112.44.6.47:4022/udp/239.11.0.122:5140
咪咕视频,http://112.44.6.47:4022/udp/239.10.0.19:5140
咪咕视频,http://112.44.6.47:4022/udp/239.10.0.20:5140
咪咕视频,http://112.44.6.47:4022/udp/239.10.0.21:5140
咪咕视频,http://112.44.6.47:4022/udp/239.10.0.22:5140
咪咕视频,http://112.44.6.47:4022/udp/239.10.0.23:5140
咪咕视频,http://112.44.6.47:4022/udp/239.10.0.24:5140
咪咕视频,http://112.44.6.47:4022/udp/239.10.0.25:5140
咪咕视频,http://112.44.6.47:4022/udp/239.10.0.26:5140
咪咕视频,http://112.44.6.47:4022/udp/239.10.0.27:5140
咪咕,http://112.44.6.47:4022/udp/239.10.0.238:5140
咪咕,http://112.44.6.47:4022/udp/239.10.0.237:5140
咪咕,http://112.44.6.47:4022/udp/239.10.0.239:5140
咪咕4K,http://112.44.6.47:4022/udp/239.10.0.240:5140
